Course,Provider,Type,Rating,Enrollment,Difficulty
Project: Multiple Linear Regression with scikit-learn,Rhyme,NEW,None,None,None
Project: Understanding Deepfakes with Keras,Rhyme,NEW,None,None,None
Project: Perform Sentiment Analysis with scikit-learn,Rhyme,NEW,None,None,None
Project: Image Classification with CNNs using Keras,Rhyme,NEW,None,None,None
Project: Machine Learning Pipelines with Azure ML Studio,Rhyme,NEW,None,None,None
Desarrollo de Videojuegos en Unity: Una Introducción,Universidad de los Andes,COURSE,4.5,19k,Beginner
Project: Simple Recurrent Neural Network with Keras,Rhyme,NEW,None,None,None
Project: Deep Learning Inference with Azure ML Studio,Rhyme,NEW,None,None,None
Google Cloud Platform Big Data and Machine Learning Fundamentals em Português Brasileiro,Google Cloud,COURSE,None,None,None
Project: Image Noise Reduction with Auto-encoders using TensorFlow,Rhyme,NEW,None,None,None
"Modern Robotics, Course 5:  Robot Manipulation and Wheeled Mobile Robots",Northwestern University,COURSE,4.7,2.4k,Intermediate
Serverless Machine Learning with Tensorflow on Google Cloud Platform 日本語版,Google Cloud,COURSE,None,None,None
Leveraging Unstructured Data with Cloud Dataproc on Google Cloud Platform 日本語版,Google Cloud,COURSE,None,None,None
"Project: Save, Load and Export Models with Keras",Rhyme,NEW,None,None,None
Project: Classification with Transfer Learning in Keras,Rhyme,NEW,None,None,None
Serverless Data Analysis with Google BigQuery and Cloud Dataflow en Español,Google Cloud,COURSE,None,None,None
Serverless Machine Learning con TensorFlow en GCP,Google Cloud,COURSE,None,None,None
Leveraging Unstructured Data with Cloud Dataproc on Google Cloud Platform en Español,Google Cloud,COURSE,None,None,None
Serverless Data Analysis with Google BigQuery and Cloud Dataflow em Português Brasileiro,Google Cloud,COURSE,None,None,None
Leveraging Unstructured Data with Cloud Dataproc on Google Cloud Platform em Português Brasileiro,Google Cloud,COURSE,None,None,None
Project: Creating Custom Callbacks in Keras,Rhyme,NEW,None,None,None
Project: Exploratory Data Analysis with Seaborn,Rhyme,NEW,None,None,None
Project: Perform Real-Time Object Detection with YOLOv3,Rhyme,NEW,None,None,None
Project: Named Entity Recognition using LSTMs with Keras,Rhyme,COURSE,None,None,None
Project: Build Random Forests in R with Azure ML Studio,Rhyme,NEW,None,None,None
Google Cloud Platform Big Data and Machine Learning Fundamentals en Français,Google Cloud,COURSE,None,None,None
Engineering Practices for Building Quality Software,University of Minnesota,COURSE,None,None,None
Project: Statistical Data Visualization with Seaborn,Rhyme,NEW,None,None,None
Serverless Data Analysis with Google BigQuery and Cloud Dataflow 日本語版,Google Cloud,COURSE,None,None,None
Project: Image Data Augmentation with Keras,Rhyme,NEW,None,None,None
Serverless Machine Learning with Tensorflow on Google Cloud Platform em Português Brasileiro,Google Cloud,COURSE,None,None,None
Project: Neural Network from Scratch in TensorFlow,Rhyme,NEW,None,None,None
Project: Image Super Resolution Using Autoencoders in Keras,Rhyme,NEW,None,None,None
"Modern Robotics, Course 6:  Capstone Project, Mobile Manipulation",Northwestern University,COURSE,4.9,1.7k,Intermediate
Serverless Machine Learning with Tensorflow on Google Cloud Platform en Français,Google Cloud,COURSE,None,None,None
Leveraging Unstructured Data with Cloud Dataproc on Google Cloud Platform en Français,Google Cloud,COURSE,None,None,None
Serverless Data Analysis with Google BigQuery and Cloud Dataflow en Français,Google Cloud,COURSE,None,None,None
Project: Support Vector Machines with scikit-learn,Rhyme,NEW,None,None,None
Project: Image Compression with K-Means Clustering,Rhyme,NEW,None,None,None
Project: Create Custom Layers in Keras,Rhyme,NEW,None,None,None
Project: Predict Employee Turnover with scikit-learn,Rhyme,NEW,None,None,None
Resolución de problemas por búsqueda,Universidad Nacional Autónoma de México,COURSE,None,None,None
Project: Classify Radio Signals from Space using Keras,Rhyme,NEW,None,None,None
Project: Analyze Text Data with Yellowbrick,Rhyme,NEW,None,None,None
Creatividad computacional,Universidad Nacional Autónoma de México,COURSE,None,None,None
Customising your models with TensorFlow 2,Imperial College London,COURSE,None,None,None
Project: Regression Analysis with Yellowbrick,Rhyme,NEW,None,None,None
Project: Evaluate Machine Learning Models with Yellowbrick,Rhyme,NEW,None,None,None
Project: Visual Machine Learning with Yellowbrick,Rhyme,NEW,None,None,None
Project: Perform Feature Analysis with Yellowbrick,Rhyme,NEW,None,None,None
Project: Regression with Automatic Differentiation in TensorFlow,Rhyme,NEW,None,None,None
Leveraging Unstructured Data with Cloud Dataproc on Google Cloud Platform auf Deutsch,Google Cloud,COURSE,None,None,None
Project: Build Multilayer Perceptron Models with Keras,Rhyme,COURSE,None,None,None
Serverless Data Analysis with Google BigQuery and Cloud Dataflow auf Deutsch,Google Cloud,COURSE,None,None,None
Serverless Machine Learning with Tensorflow on Google Cloud Platform auf Deutsch,Google Cloud,COURSE,None,None,None
Interaction Design,University of California San Diego,SPECIALIZATION,4.5,150k,Intermediate
Data Warehousing for Business Intelligence,University of Colorado System,SPECIALIZATION,4.5,130k,Advanced
Fundamentals of Visualization with Tableau,"University of California, Davis",COURSE,4.5,71k,Beginner
Development of Secure Embedded Systems,EIT Digital ,SPECIALIZATION,4.3,50k,Intermediate
"Big Data Analysis: Hive, Spark SQL, DataFrames and GraphFrames",Yandex,COURSE,4,16k,Advanced
"Data Warehouse Concepts, Design, and Data Integration",University of Colorado System,COURSE,4.4,35k,Mixed
Embedded Hardware and Operating Systems,EIT Digital ,COURSE,4.2,32k,Intermediate
"Designing, Running, and Analyzing Experiments",University of California San Diego,COURSE,3.7,21k,Intermediate
Cloud Computing Concepts: Part 2,University of Illinois at Urbana-Champaign,COURSE,4.6,19k,Mixed
"Cloud Computing Applications, Part 2: Big Data and Applications in the Cloud",University of Illinois at Urbana-Champaign,COURSE,4.2,17k,Mixed
Master of Science in Accounting,University of Illinois at Urbana-Champaign,DEGREE,None,None,None
Julia Scientific Programming,University of Cape Town,COURSE,4.5,19k,Beginner
Managing Big Data with MySQL,Duke University,COURSE,4.7,120k,Mixed
"Smart Analytics, Machine Learning, and AI on GCP",Google Cloud,COURSE,4.5,2.1k,Intermediate
Introduction to Virtual Reality,University of London,COURSE,4.7,14k,Beginner
Launching into Machine Learning en Español,Google Cloud,COURSE,None,None,None
MongoDB Aggregation Framework,MongoDB Inc.,COURSE,4.7,4.3k,Intermediate
Achieving Advanced Insights with BigQuery 日本語版,Google Cloud,COURSE,None,None,None
